id,left_top_x,left_top_y,width,height
id_0,548,18,58,58
id_1,326,26,60,60
id_2,458,57,52,52
id_3,728,62,58,58
id_4,627,612,41,41
id_5,723,151,63,63
id_6,145,32,62,62
id_7,865,150,60,60
id_8,400,140,71,71
id_9,232,98,67,67
id_10,814,264,70,70
id_11,534,173,54,54
id_12,412,283,78,78
id_13,84,169,71,71
id_14,241,248,82,82
id_15,535,191,54,54
id_16,569,301,84,84
id_17,665,219,74,74
id_18,947,224,70,70
id_19,393,184,116,116
id_20,657,313,51,51
