id,left_top_x,left_top_y,width,height
id_0,684,174,63,63
id_1,798,332,66,66
id_2,593,222,50,50
id_3,329,196,54,54
id_4,641,336,35,35
id_5,593,316,23,23
id_6,205,198,65,65
id_7,447,200,57,57
id_8,263,259,54,54
id_9,52,270,56,56
id_10,844,230,62,62
id_11,181,298,65,65
id_12,627,283,59,59
id_13,326,293,54,54
id_14,458,278,60,60
id_15,538,248,59,59
id_16,133,249,62,62
id_17,208,223,58,58
id_18,894,228,69,69
id_19,732,262,63,63
id_20,628,230,102,102
