id,left_top_x,left_top_y,width,height
id_0,1693,640,38,38
id_1,1469,148,157,157
id_2,1091,971,44,44
id_3,430,166,164,164
id_4,1612,590,49,49
id_5,949,172,151,151
id_6,667,274,164,164
id_7,1135,289,157,157
id_8,1221,876,88,88
id_9,1562,800,110,110
id_10,839,418,359,359
id_11,971,254,106,106
id_12,117,269,145,145
