id,left_top_x,left_top_y,width,height
id_0,364,61,111,111
id_1,102,535,45,45
id_2,44,93,106,106
id_3,186,150,120,120
id_4,35,630,22,22
id_5,695,420,133,133
id_6,77,416,92,92
id_7,372,241,153,153
id_8,669,160,115,115
id_9,891,183,127,127
id_10,506,172,121,121
